,SHIFT,OFFENSE,METHOD,START_DATE,END_DATE
33,DAY,THEFT/OTHER,OTHERS,2014-03-14 12:47:00+00:00,2014-03-14 12:48:00+00:00
34,DAY,THEFT/OTHER,OTHERS,2014-03-14 12:30:00+00:00,2014-03-14 12:50:00+00:00
35,DAY,THEFT F/AUTO,OTHERS,2014-03-14 12:20:00+00:00,2014-03-14 12:35:00+00:00
36,DAY,BURGLARY,OTHERS,2014-03-14 12:34:00+00:00,2014-03-14 12:35:00+00:00
37,DAY,THEFT/OTHER,OTHERS,2014-03-14 11:28:00+00:00,2014-03-14 11:38:00+00:00
38,DAY,SEX ABUSE,OTHERS,2014-03-14 13:30:00+00:00,2014-03-14 13:50:00+00:00
39,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-03-14 11:50:00+00:00,2014-03-14 11:55:00+00:00
40,EVENING,THEFT F/AUTO,OTHERS,2014-03-14 14:00:00+00:00,2014-03-14 14:20:00+00:00
41,DAY,THEFT F/AUTO,OTHERS,2014-03-14 07:00:00+00:00,2014-03-14 14:30:00+00:00
42,EVENING,THEFT F/AUTO,OTHERS,2014-03-14 08:00:00+00:00,2014-03-14 13:30:00+00:00
43,EVENING,BURGLARY,OTHERS,2014-03-07 06:00:00+00:00,2014-03-14 14:00:00+00:00
44,EVENING,BURGLARY,OTHERS,2014-03-14 07:45:00+00:00,2014-03-14 14:34:00+00:00
45,EVENING,THEFT F/AUTO,OTHERS,2014-03-14 11:00:00+00:00,2014-03-14 15:54:00+00:00
46,EVENING,THEFT/OTHER,OTHERS,2014-02-09 16:21:00+00:00,2014-03-14 16:21:00+00:00
47,EVENING,THEFT/OTHER,OTHERS,2014-03-14 16:00:00+00:00,2014-03-14 16:15:00+00:00
48,MIDNIGHT,ROBBERY,GUN,2014-01-01 03:30:00+00:00,2014-01-01 03:45:00+00:00
49,DAY,THEFT F/AUTO,OTHERS,2013-12-31 18:00:00+00:00,2014-01-01 07:39:00+00:00
50,DAY,ROBBERY,OTHERS,2014-01-01 05:50:00+00:00,2014-01-01 06:00:00+00:00
51,DAY,BURGLARY,OTHERS,2014-01-01 07:28:00+00:00,2014-01-01 07:29:00+00:00
52,DAY,BURGLARY,OTHERS,2014-01-01 08:01:00+00:00,2014-01-01 08:01:00+00:00
53,DAY,THEFT/OTHER,OTHERS,2013-12-31 11:00:00+00:00,2013-12-31 20:00:00+00:00
54,DAY,ROBBERY,OTHERS,2014-01-01 07:45:00+00:00,2014-01-01 07:50:00+00:00
55,DAY,THEFT/OTHER,OTHERS,2014-01-01 08:30:00+00:00,2014-01-01 08:55:00+00:00
56,DAY,THEFT/OTHER,OTHERS,2014-01-01 00:30:00+00:00,2014-01-01 01:30:00+00:00
57,DAY,THEFT/OTHER,OTHERS,2014-01-01 09:00:00+00:00,2014-01-01 09:00:00+00:00
58,DAY,THEFT F/AUTO,OTHERS,2013-12-31 20:00:00+00:00,2014-01-01 01:30:00+00:00
59,DAY,THEFT/OTHER,OTHERS,2014-01-01 09:25:00+00:00,2014-01-01 09:30:00+00:00
60,DAY,THEFT/OTHER,OTHERS,2014-01-01 10:20:00+00:00,2014-01-01 10:21:00+00:00
61,DAY,THEFT/OTHER,OTHERS,2014-01-01 10:58:00+00:00,2014-01-01 10:58:00+00:00
62,DAY,THEFT F/AUTO,OTHERS,2013-12-31 11:00:00+00:00,2014-01-01 11:00:00+00:00
63,DAY,ROBBERY,KNIFE,2014-01-01 01:00:00+00:00,2014-01-01 01:10:00+00:00
64,DAY,BURGLARY,OTHERS,2013-12-31 23:00:00+00:00,2014-01-01 11:09:00+00:00
65,DAY,THEFT F/AUTO,OTHERS,2014-01-01 02:00:00+00:00,2014-01-01 10:15:00+00:00
66,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,2014-01-01 10:35:00+00:00,2014-01-01 10:38:00+00:00
67,DAY,THEFT F/AUTO,OTHERS,2013-12-31 23:40:00+00:00,2014-01-01 10:00:00+00:00
68,DAY,THEFT F/AUTO,OTHERS,2014-01-01 10:00:00+00:00,2014-01-01 10:30:00+00:00
69,DAY,THEFT F/AUTO,OTHERS,2013-12-31 14:00:00+00:00,2014-01-01 12:00:00+00:00
70,DAY,THEFT F/AUTO,OTHERS,2013-12-31 16:00:00+00:00,2014-01-01 10:00:00+00:00
71,DAY,THEFT/OTHER,OTHERS,2014-01-01 00:01:00+00:00,2014-01-01 09:00:00+00:00
72,DAY,THEFT F/AUTO,OTHERS,2013-12-31 21:00:00+00:00,2014-01-01 10:45:00+00:00
73,DAY,THEFT/OTHER,OTHERS,2014-01-01 14:06:00+00:00,2014-01-01 14:10:00+00:00
74,MIDNIGHT,BURGLARY,OTHERS,2014-01-06 02:25:00+00:00,2014-01-06 02:35:00+00:00
75,DAY,BURGLARY,OTHERS,2014-01-06 06:15:00+00:00,2014-01-06 06:18:00+00:00
76,DAY,THEFT F/AUTO,OTHERS,2014-01-05 22:20:00+00:00,2014-01-06 08:00:00+00:00
77,DAY,THEFT/OTHER,OTHERS,2014-01-06 07:58:00+00:00,2014-01-06 08:05:00+00:00
78,DAY,THEFT F/AUTO,OTHERS,2014-01-05 08:16:00+00:00,2014-01-06 08:26:00+00:00
79,DAY,THEFT F/AUTO,OTHERS,2014-01-06 08:35:00+00:00,2014-01-06 08:50:00+00:00
80,DAY,THEFT F/AUTO,OTHERS,2014-01-05 22:00:00+00:00,2014-01-06 07:00:00+00:00
81,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-01-06 08:36:00+00:00,2014-01-06 08:37:00+00:00
82,DAY,THEFT/OTHER,OTHERS,2014-01-05 15:00:00+00:00,2014-01-06 07:00:00+00:00
83,DAY,BURGLARY,OTHERS,2014-01-04 23:25:00+00:00,2014-01-05 00:35:00+00:00
84,DAY,ROBBERY,OTHERS,2014-01-06 09:40:00+00:00,2014-01-06 09:41:00+00:00
85,DAY,THEFT F/AUTO,OTHERS,2014-01-06 10:00:00+00:00,2014-01-06 10:03:00+00:00
86,DAY,THEFT/OTHER,OTHERS,2013-11-27 11:00:00+00:00,2013-12-09 10:19:00+00:00
87,DAY,THEFT F/AUTO,OTHERS,2014-01-06 02:00:00+00:00,2014-01-06 10:00:00+00:00
88,DAY,THEFT/OTHER,OTHERS,2014-01-05 18:30:00+00:00,2014-01-06 09:15:00+00:00
89,DAY,THEFT F/AUTO,OTHERS,2014-01-03 21:00:00+00:00,2014-01-04 03:30:00+00:00
90,DAY,THEFT F/AUTO,OTHERS,2014-01-05 21:30:00+00:00,2014-01-06 10:30:00+00:00
91,DAY,BURGLARY,OTHERS,2014-01-05 04:50:00+00:00,2014-01-06 09:00:00+00:00
92,DAY,THEFT F/AUTO,OTHERS,2014-01-04 11:30:00+00:00,2014-01-06 10:30:00+00:00
93,DAY,THEFT/OTHER,OTHERS,2014-01-03 11:03:00+00:00,2014-01-03 20:00:00+00:00
94,DAY,THEFT/OTHER,OTHERS,2014-01-06 11:05:00+00:00,2014-01-06 11:15:00+00:00
95,DAY,THEFT/OTHER,OTHERS,2014-01-04 10:00:00+00:00,2014-01-05 10:00:00+00:00
96,DAY,THEFT/OTHER,OTHERS,2013-12-25 11:51:00+00:00,2014-01-06 11:51:00+00:00
97,DAY,THEFT/OTHER,OTHERS,2013-12-22 18:00:00+00:00,2014-01-06 13:14:00+00:00
98,DAY,THEFT F/AUTO,OTHERS,2014-01-06 12:35:00+00:00,2014-01-06 13:00:00+00:00
99,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-06 08:00:00+00:00,2014-01-06 13:00:00+00:00
100,DAY,THEFT/OTHER,OTHERS,2014-01-06 13:00:00+00:00,2014-01-06 13:00:00+00:00
101,MIDNIGHT,ROBBERY,GUN,2014-01-11 00:30:00+00:00,2014-01-11 00:32:00+00:00
102,MIDNIGHT,THEFT/OTHER,OTHERS,2014-01-08 19:00:00+00:00,2014-01-10 21:00:00+00:00
103,MIDNIGHT,ROBBERY,OTHERS,2014-01-11 01:00:00+00:00,2014-01-11 01:15:00+00:00
104,MIDNIGHT,ROBBERY,OTHERS,2014-01-11 00:55:00+00:00,2014-01-11 01:19:00+00:00
105,MIDNIGHT,THEFT F/AUTO,OTHERS,2014-01-10 22:30:00+00:00,2014-01-11 01:50:00+00:00
106,MIDNIGHT,THEFT F/AUTO,OTHERS,2014-01-10 23:30:00+00:00,2014-01-11 01:15:00+00:00
107,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-01-11 01:10:00+00:00,2014-01-11 01:20:00+00:00
108,MIDNIGHT,ROBBERY,GUN,2014-01-11 01:15:00+00:00,2014-01-11 01:20:00+00:00
109,MIDNIGHT,THEFT F/AUTO,OTHERS,2014-01-11 02:39:00+00:00,2014-01-11 02:40:00+00:00
110,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-01-11 02:20:00+00:00,2014-01-11 02:22:00+00:00
111,MIDNIGHT,THEFT F/AUTO,OTHERS,2014-01-11 00:05:00+00:00,2014-01-11 02:54:00+00:00
112,MIDNIGHT,THEFT F/AUTO,OTHERS,2014-01-11 03:19:00+00:00,2014-01-11 03:19:00+00:00
113,MIDNIGHT,THEFT F/AUTO,OTHERS,2014-01-11 03:10:00+00:00,2014-01-11 03:14:00+00:00
114,MIDNIGHT,ROBBERY,OTHERS,2014-01-11 02:50:00+00:00,2014-01-11 02:55:00+00:00
115,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,2014-01-11 04:12:00+00:00,2014-01-11 04:12:00+00:00
116,MIDNIGHT,ROBBERY,KNIFE,2014-01-11 03:45:00+00:00,2014-01-11 04:04:00+00:00
117,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-11 06:50:00+00:00,2014-01-11 07:00:00+00:00
118,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-11 01:00:00+00:00,2014-01-11 07:20:00+00:00
119,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-10 20:30:00+00:00,2014-01-11 07:46:00+00:00
120,DAY,THEFT F/AUTO,OTHERS,2014-01-10 21:00:00+00:00,2014-01-11 08:00:00+00:00
121,MIDNIGHT,ROBBERY,GUN,2014-01-11 03:45:00+00:00,2014-01-11 04:30:00+00:00
122,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-11 04:00:00+00:00,2014-01-11 07:00:00+00:00
123,DAY,BURGLARY,OTHERS,2014-01-11 09:30:00+00:00,2014-01-11 09:38:00+00:00
124,DAY,BURGLARY,OTHERS,2014-01-10 15:00:00+00:00,2014-01-11 09:40:00+00:00
125,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-01-11 10:18:00+00:00,2014-01-11 10:18:00+00:00
126,MIDNIGHT,ROBBERY,OTHERS,2014-01-15 02:35:00+00:00,2014-01-15 02:36:00+00:00
127,MIDNIGHT,ASSAULT W/DANGEROUS WEAPON,KNIFE,2014-01-15 04:21:00+00:00,2014-01-15 04:21:00+00:00
128,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2014-01-15 01:30:00+00:00,2014-01-15 05:30:00+00:00
129,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2014-01-14 20:00:00+00:00,2014-01-15 05:00:00+00:00
130,MIDNIGHT,MOTOR VEHICLE THEFT,OTHERS,2014-01-14 20:00:00+00:00,2014-01-15 05:00:00+00:00
131,MIDNIGHT,BURGLARY,OTHERS,2014-01-15 06:05:00+00:00,2014-01-15 06:18:00+00:00
132,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-15 06:55:00+00:00,2014-01-15 06:58:00+00:00
133,DAY,THEFT F/AUTO,OTHERS,2014-01-14 17:00:00+00:00,2014-01-15 07:00:00+00:00
134,DAY,THEFT F/AUTO,OTHERS,2014-01-14 18:30:00+00:00,2014-01-15 07:15:00+00:00
135,EVENING,THEFT F/AUTO,OTHERS,2014-01-14 20:30:00+00:00,2014-01-15 08:00:00+00:00
136,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-15 07:00:00+00:00,2014-01-15 07:20:00+00:00
137,DAY,THEFT/OTHER,OTHERS,2014-01-11 12:00:00+00:00,2014-01-13 21:00:00+00:00
138,DAY,THEFT/OTHER,OTHERS,2014-01-15 08:30:00+00:00,2014-01-15 08:35:00+00:00
139,DAY,ASSAULT W/DANGEROUS WEAPON,GUN,2014-01-15 07:10:00+00:00,2014-01-15 07:44:00+00:00
140,DAY,THEFT F/AUTO,OTHERS,2014-01-15 01:30:00+00:00,2014-01-15 08:36:00+00:00
141,DAY,THEFT F/AUTO,OTHERS,2014-01-14 19:00:00+00:00,2014-01-15 08:45:00+00:00
142,DAY,SEX ABUSE,OTHERS,2014-01-15 04:12:00+00:00,2014-01-15 10:00:00+00:00
143,DAY,THEFT F/AUTO,OTHERS,2014-01-14 13:30:00+00:00,2014-01-15 09:30:00+00:00
144,DAY,THEFT F/AUTO,OTHERS,2014-01-15 09:25:00+00:00,2014-01-15 09:55:00+00:00
145,DAY,THEFT F/AUTO,OTHERS,2014-01-15 08:50:00+00:00,2014-01-15 09:50:00+00:00
146,DAY,THEFT F/AUTO,OTHERS,2014-01-15 10:27:00+00:00,2014-01-15 10:28:00+00:00
147,DAY,THEFT/OTHER,OTHERS,2014-01-15 10:24:00+00:00,2014-01-15 10:30:00+00:00
148,DAY,THEFT/OTHER,OTHERS,2014-01-15 10:54:00+00:00,2014-01-15 10:57:00+00:00
149,DAY,THEFT F/AUTO,OTHERS,2014-01-15 10:00:00+00:00,2014-01-15 10:43:00+00:00
150,DAY,THEFT/OTHER,OTHERS,2014-01-15 10:55:00+00:00,2014-01-15 11:00:00+00:00
151,DAY,THEFT/OTHER,OTHERS,2014-01-15 10:08:00+00:00,2014-01-15 10:08:00+00:00
152,DAY,THEFT F/AUTO,OTHERS,2014-01-19 05:45:00+00:00,2014-01-19 12:49:00+00:00
153,DAY,THEFT/OTHER,OTHERS,2014-01-19 12:15:00+00:00,2014-01-19 12:22:00+00:00
154,DAY,BURGLARY,OTHERS,2014-01-19 10:00:00+00:00,2014-01-19 12:30:00+00:00
155,DAY,THEFT/OTHER,OTHERS,2014-01-18 12:30:00+00:00,2014-01-19 12:32:00+00:00
156,DAY,THEFT F/AUTO,OTHERS,2014-01-19 13:30:00+00:00,2014-01-19 13:41:00+00:00
157,MIDNIGHT,THEFT/OTHER,OTHERS,2014-01-19 12:50:00+00:00,2014-01-19 13:09:00+00:00
158,DAY,THEFT/OTHER,OTHERS,2014-01-19 12:00:00+00:00,2014-01-19 13:00:00+00:00
159,DAY,THEFT/OTHER,OTHERS,2014-01-19 11:30:00+00:00,2014-01-19 12:15:00+00:00
160,DAY,ROBBERY,OTHERS,2014-01-18 02:00:00+00:00,2014-01-18 02:15:00+00:00
161,DAY,THEFT F/AUTO,OTHERS,2014-01-17 08:00:00+00:00,2014-01-19 13:43:00+00:00
162,DAY,THEFT F/AUTO,OTHERS,2014-01-19 10:00:00+00:00,2014-01-19 14:07:00+00:00
163,DAY,THEFT/OTHER,OTHERS,2014-01-19 13:50:00+00:00,2014-01-19 14:30:00+00:00
164,DAY,THEFT F/AUTO,OTHERS,2014-01-19 11:00:00+00:00,2014-01-19 14:00:00+00:00
165,DAY,THEFT F/AUTO,OTHERS,2014-01-19 12:00:00+00:00,2014-01-19 14:30:00+00:00
166,DAY,ROBBERY,OTHERS,2014-01-19 13:28:00+00:00,2014-01-19 13:50:00+00:00
167,DAY,THEFT F/AUTO,OTHERS,2014-01-18 20:30:00+00:00,2014-01-19 12:00:00+00:00
168,DAY,MOTOR VEHICLE THEFT,OTHERS,2014-01-19 11:00:00+00:00,2014-01-19 14:55:00+00:00
169,EVENING,THEFT/OTHER,OTHERS,2014-01-19 14:05:00+00:00,2014-01-19 15:30:00+00:00
170,DAY,THEFT F/AUTO,OTHERS,2014-01-19 10:15:00+00:00,2014-01-19 12:50:00+00:00
171,DAY,THEFT F/AUTO,OTHERS,2014-01-19 08:00:00+00:00,2014-01-19 14:00:00+00:00
172,EVENING,THEFT F/AUTO,OTHERS,2014-01-19 13:00:00+00:00,2014-01-19 15:00:00+00:00
173,DAY,BURGLARY,OTHERS,2014-01-19 10:10:00+00:00,2014-01-19 13:00:00+00:00
174,EVENING,THEFT F/AUTO,OTHERS,2014-01-19 15:05:00+00:00,2014-01-19 15:33:00+00:00
175,EVENING,THEFT/OTHER,OTHERS,2014-01-17 22:00:00+00:00,2014-01-17 22:10:00+00:00
176,EVENING,THEFT F/AUTO,OTHERS,2014-01-19 06:00:00+00:00,2014-01-19 15:45:00+00:00
177,EVENING,THEFT F/AUTO,OTHERS,2014-01-19 12:00:00+00:00,2014-01-19 15:23:00+00:00
178,DAY,THEFT F/AUTO,OTHERS,2014-01-24 11:00:00+00:00,2014-01-24 11:45:00+00:00
179,DAY,THEFT/OTHER,OTHERS,2014-01-23 11:30:00+00:00,2014-01-24 12:45:00+00:00
180,DAY,THEFT/OTHER,OTHERS,2014-01-24 12:30:00+00:00,2014-01-24 13:24:00+00:00
181,DAY,ROBBERY,KNIFE,2014-01-24 13:10:00+00:00,2014-01-24 13:13:00+00:00
182,DAY,ASSAULT W/DANGEROUS WEAPON,KNIFE,2014-01-24 13:26:00+00:00,2014-01-24 13:26:00+00:00
183,DAY,THEFT F/AUTO,OTHERS,2014-01-24 11:48:00+00:00,2014-01-24 12:03:00+00:00
184,DAY,THEFT F/AUTO,OTHERS,2014-01-24 11:55:00+00:00,2014-01-24 13:10:00+00:00
185,DAY,THEFT/OTHER,OTHERS,2014-01-23 23:00:00+00:00,2014-01-24 00:30:00+00:00
186,EVENING,THEFT/OTHER,OTHERS,2014-01-24 14:32:00+00:00,2014-01-24 14:40:00+00:00
187,DAY,THEFT F/AUTO,OTHERS,2014-01-23 22:30:00+00:00,2014-01-24 14:20:00+00:00
188,DAY,THEFT/OTHER,OTHERS,2014-01-24 14:34:00+00:00,2014-01-24 14:34:00+00:00
189,DAY,THEFT/OTHER,OTHERS,2014-01-24 14:20:00+00:00,2014-01-24 14:20:00+00:00
190,DAY,THEFT/OTHER,OTHERS,2014-01-24 13:30:00+00:00,2014-01-24 13:45:00+00:00
191,DAY,THEFT/OTHER,OTHERS,2014-01-23 06:30:00+00:00,2014-01-24 14:00:00+00:00
192,MIDNIGHT,HOMICIDE,GUN,2014-01-24 14:45:00+00:00,2014-01-24 14:45:00+00:00
193,DAY,BURGLARY,OTHERS,2014-01-19 18:00:00+00:00,2014-01-24 14:00:00+00:00
194,EVENING,THEFT F/AUTO,OTHERS,2014-01-23 18:00:00+00:00,2014-01-23 21:00:00+00:00
195,EVENING,THEFT/OTHER,OTHERS,2014-01-24 15:43:00+00:00,2014-01-24 16:08:00+00:00
196,DAY,THEFT/OTHER,OTHERS,2014-01-20 20:00:00+00:00,2014-01-21 08:00:00+00:00
197,EVENING,THEFT/OTHER,OTHERS,2014-01-24 13:00:00+00:00,2014-01-24 13:30:00+00:00
198,EVENING,BURGLARY,OTHERS,2014-01-24 10:45:00+00:00,2014-01-24 15:55:00+00:00
199,EVENING,THEFT/OTHER,OTHERS,2014-01-21 12:00:00+00:00,2014-01-21 16:20:00+00:00
200,EVENING,BURGLARY,OTHERS,2014-01-24 15:11:00+00:00,2014-01-24 15:20:00+00:00
201,EVENING,THEFT F/AUTO,OTHERS,2014-01-24 10:10:00+00:00,2014-01-24 16:20:00+00:00
202,EVENING,ROBBERY,OTHERS,2014-01-24 16:40:00+00:00,2014-01-24 16:53:00+00:00
203,EVENING,THEFT F/AUTO,OTHERS,2014-01-24 16:54:00+00:00,2014-01-24 16:54:00+00:00
204,DAY,BURGLARY,OTHERS,2013-09-23 12:00:00+00:00,2013-09-23 17:00:00+00:00
205,DAY,THEFT/OTHER,OTHERS,2014-01-29 13:10:00+00:00,2014-01-29 13:40:00+00:00
206,DAY,ASSAULT W/DANGEROUS WEAPON,OTHERS,2014-01-29 13:11:00+00:00,2014-01-29 13:11:00+00:00
207,DAY,THEFT F/AUTO,OTHERS,2014-01-28 21:00:00+00:00,2014-01-28 23:00:00+00:00
208,EVENING,ROBBERY,GUN,2014-01-29 13:15:00+00:00,2014-01-29 13:48:00+00:00
209,EVENING,THEFT/OTHER,OTHERS,2014-01-27 14:41:00+00:00,2014-01-29 14:51:00+00:00
210,EVENING,BURGLARY,OTHERS,2014-01-29 14:13:00+00:00,2014-01-29 14:55:00+00:00
211,DAY,THEFT F/AUTO,OTHERS,2014-01-29 14:49:00+00:00,2014-01-29 14:49:00+00:00
212,DAY,THEFT/OTHER,OTHERS,2014-01-29 13:55:00+00:00,2014-01-29 13:55:00+00:00
213,EVENING,THEFT/OTHER,OTHERS,2014-01-29 15:00:00+00:00,2014-01-29 15:10:00+00:00
214,EVENING,THEFT/OTHER,OTHERS,2014-01-29 15:20:00+00:00,2014-01-29 15:23:00+00:00
215,EVENING,THEFT/OTHER,OTHERS,2014-01-29 15:57:00+00:00,2014-01-29 16:05:00+00:00
216,EVENING,THEFT/OTHER,OTHERS,2014-01-27 22:30:00+00:00,2014-01-28 04:30:00+00:00
217,EVENING,THEFT F/AUTO,OTHERS,2014-01-27 09:30:00+00:00,2014-01-29 15:50:00+00:00
218,DAY,BURGLARY,OTHERS,2014-01-29 13:00:00+00:00,2014-01-29 13:16:00+00:00
219,EVENING,THEFT/OTHER,OTHERS,2014-01-29 16:02:00+00:00,2014-01-29 16:02:00+00:00
220,EVENING,BURGLARY,OTHERS,2014-01-27 16:00:00+00:00,2014-01-29 16:24:00+00:00
221,EVENING,MOTOR VEHICLE THEFT,OTHERS,2014-01-29 16:15:00+00:00,2014-01-29 16:30:00+00:00
222,EVENING,ROBBERY,GUN,2014-01-29 16:00:00+00:00,2014-01-29 16:03:00+00:00
223,EVENING,BURGLARY,OTHERS,2014-01-28 12:00:00+00:00,2014-01-29 15:00:00+00:00
224,EVENING,BURGLARY,OTHERS,2014-01-29 09:30:00+00:00,2014-01-29 16:15:00+00:00
225,EVENING,THEFT/OTHER,OTHERS,2014-01-26 23:00:00+00:00,2014-01-26 23:10:00+00:00
226,EVENING,THEFT/OTHER,OTHERS,2014-01-29 15:45:00+00:00,2014-01-29 16:00:00+00:00
227,EVENING,BURGLARY,OTHERS,2014-01-29 08:00:00+00:00,2014-01-29 17:00:00+00:00
228,EVENING,THEFT F/AUTO,OTHERS,2014-01-29 15:30:00+00:00,2014-01-29 16:30:00+00:00
229,EVENING,THEFT F/AUTO,OTHERS,2014-01-29 17:45:00+00:00,2014-01-29 17:48:00+00:00
230,EVENING,THEFT F/AUTO,OTHERS,2014-02-03 17:20:00+00:00,2014-02-03 17:35:00+00:00
231,EVENING,ASSAULT W/DANGEROUS WEAPON,KNIFE,2014-02-03 17:25:00+00:00,2014-02-03 17:30:00+00:00
232,EVENING,THEFT F/AUTO,OTHERS,2014-02-03 16:45:00+00:00,2014-02-03 17:47:00+00:00
233,EVENING,THEFT/OTHER,OTHERS,2014-01-21 13:26:00+00:00,2014-02-03 17:26:00+00:00
234,EVENING,THEFT/OTHER,OTHERS,2014-01-21 14:10:00+00:00,2014-01-22 18:18:00+00:00
235,EVENING,THEFT/OTHER,OTHERS,2014-01-21 18:16:00+00:00,2014-01-23 18:26:00+00:00
236,EVENING,ROBBERY,OTHERS,2014-02-03 18:35:00+00:00,2014-02-03 18:37:00+00:00
237,EVENING,THEFT F/AUTO,OTHERS,2014-02-03 00:30:00+00:00,2014-02-03 07:00:00+00:00
238,EVENING,ROBBERY,OTHERS,2014-02-03 18:41:00+00:00,2014-02-03 18:47:00+00:00
239,EVENING,THEFT/OTHER,OTHERS,2014-02-03 19:40:00+00:00,2014-02-03 19:44:00+00:00
240,EVENING,THEFT/OTHER,OTHERS,2014-02-03 19:38:00+00:00,2014-02-03 19:38:00+00:00
